appid,category
284075743,TimedOut
284784121, {"appData":{"app_id":284784121,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id284784121","app_versions":[{"version":"1.2","date":1229040000000},{"version":"1.1","date":1226102400000},{"version":"1.0","date":1215302400000}],"app_view_url":"/ios/us/freeverse-inc/app/jared/284784121/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
285514848, {"appData":{"app_id":285514848,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id285514848","app_versions":[{"version":"1.0","date":1217376000000}],"app_view_url":"/ios/us/garden-state-robotics-and-fried-chicken/app/theurgic-octasphere/285514848/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
285887422, {"appData":{"app_id":285887422,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id285887422","app_versions":[{"version":"2.4.3","date":1401062400000},{"version":"2.4.2","date":1399507200000},{"version":"2.4.1","date":1396224000000},{"version":"2.4.0","date":1394668800000},{"version":"2.3.0","date":1385942400000},{"version":"2.2.9","date":1366848000000},{"version":"2.2.8","date":1349740800000},{"version":"2.2.7","date":1338249600000},{"version":"2.2.6","date":1333152000000},{"version":"2.2.5","date":1331596800000},{"version":"2.2.4","date":1330992000000},{"version":"2.2.3","date":1323129600000},{"version":"2.2.2","date":1320624000000},{"version":"2.2.1","date":1318809600000},{"version":"2.2.0","date":1318032000000},{"version":"2.1.0","date":1317600000000},{"version":"2.0.0","date":1316908800000},{"version":"1.3","date":1296259200000},{"version":"1.2","date":1279584000000},{"version":"1.1","date":1222214400000},{"version":"1.0","date":1216771200000}],"app_view_url":"/ios/us/washingtonpost-com/app/dc-going-out-guide/285887422/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
286015708,TimedOut
286367870, {"appData":{"app_id":286367870,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id286367870","app_versions":[{"version":"1.2","date":1219363200000},{"version":"1.1","date":1218672000000},{"version":"1.0","date":1217376000000}],"app_view_url":"/ios/us/memention-ab/app/clara/286367870/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
286547363,TimedOut
286631949, {"appData":{"app_id":286631949,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id286631949","app_versions":[{"version":"4.1.2","date":1291075200000},{"version":"4.1.1","date":1279670400000},{"version":"4.1","date":1278115200000},{"version":"4.0","date":1270771200000},{"version":"3.1","date":1252886400000},{"version":"3.0","date":1247529600000},{"version":"2.0","date":1231718400000},{"version":"1.0","date":1217548800000}],"app_view_url":"/ios/us/tightapps/app/wooo-button/286631949/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
286570924, {"appData":{"app_id":286570924,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id286570924","app_versions":[{"version":"1.0","date":1217462400000}],"app_view_url":"/ios/us/champion-gameware/app/knock-on-wood/286570924/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
287063264, {"appData":{"app_id":287063264,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id287063264","app_versions":[{"version":"2.0","date":1294185600000},{"version":"1.0","date":1217894400000}],"app_view_url":"/ios/us/mozapp-creations/app/snow/287063264/","categories":[{"countryUrl":"us","deviceIdentifier":"overall","name":"Entertainment
287212266, {"appData":{"app_id":287212266,"apple_watch_enabled":null,"apple_watch_icon":null,"app_profile_url":"https://itunes.apple.com/US/app/id287212266","app_vers
